Region,Year,Total,1Room_rent_SQM,2Room_rent_SQM,3Room_rent_SQM,4Room_rent_SQM,5Room_rent_SQM,6Room_rent_SQM,Empty_quota,Density_p_per_room,density_p_per_flat,Size_per_p_in_sqm,Ownership_quota,Amount_total,amount_Rentals,amount_Genossenschaft,amount_own_flat,amount_own_house,amount_Others
Luzern,2016,15,18.1,16.9,15.4,14.2,14.3,14.2,1.13,  0.59 ,  2.3 ,  45.9 ,  36.3 ,172115,100363,5293,21528,40908,4024
Uri,2016,13,12.4,15,13.5,13,12,8.9,1.92,  0.57 ,  2.4 ,  45.3 ,  50.6 ,14981,6391,426,1994,5583,586
Schwyz,2016,16.5,18.2,16.8,16.7,16.1,16.5,19.1,1.45,  0.58 ,  2.3 ,  48.7 ,  43.3 ,66023,35073,516,10113,18471,1850
Obwalden,2016,13.8,13.8,14.3,13.2,14.3,12.9,16.2,0.61,  0.58 ,  2.4 ,  47.3 ,  47.5 ,15675,7482,0,2938,4509,665
Nidwalden,2016,15,13.7,15.6,15.3,14.7,14.4,16.3,1.55,  0.58 ,  2.3 ,  49.0 ,  39.9 ,18542,10403,163,3187,4208,581
Glarus,2016,12.3,11.8,12.3,13.6,11.9,10.1,11.7,1.68,  0.54 ,  2.2 ,  49.3 ,  50.4 ,17614,8268,150,1450,7427,318
Zug,2016,19.5,21.4,21.5,20.2,18.9,18.3,19.8,0.43,  0.61 ,  2.3 ,  47.1 ,  34.5 ,52998,32563,1000,10071,8222,1141
Freiburg,2016,14.1,17.3,15.4,14.5,13.3,13.5,12,1.34,  0.63 ,  2.4 ,  44.4 ,  44.3 ,126338,64157,614,11348,44624,5595
Solothurn,2016,13.5,14.2,15.1,13.3,13.3,12.2,14,2.79,  0.55 ,  2.2 ,  49.3 ,  51.1 ,118611,53446,1531,10973,49659,3002
Basel_Stadt,2016,17.2,19.5,17.7,16.9,16.8,16.6,17.2,0.50,  0.63 ,  2.0 ,  41.2 ,  16.5 ,96169,69522,9707,5927,9971,1042
Basel-Land,2016,16.1,13.6,16.7,16.3,16,16.4,14.4,0.58,  0.57 ,  2.2 ,  47.5 ,  46.5 ,125955,61311,3395,12445,46068,2736
Schaffhausen,2016,13.1,14.7,14.5,13.4,12.4,12.2,14,2.04,  0.54 ,  2.2 ,  50.5 ,  43.6 ,36487,19477,662,3970,11931,447
Appenzell_A,2016,13,14.5,14.6,12.6,12.9,12.5,12.4,2.02,  0.53 ,  2.3 ,  50.1 ,  49.9 ,23441,10762,180,1982,9718,799
Appenzell_I,2016,12.6,19.1,15.5,13.2,12.9,9.2,9.5,2.36,  0.54 ,  2.5 ,  48.6 ,  54.5 ,6307,2595,0,318,3117,224
St.Gallen,2016,13.7,14.4,14.8,14,13.5,12.8,12.4,1.84,  0.56 ,  2.3 ,  47.0 ,  41.9 ,215902,117833,3424,22662,67754,4229
Graubunden,2016,14.7,16.6,17.4,15.3,13.9,12.8,12.3,1.71,  0.57 ,  2.2 ,  46.4 ,  45.0 ,90136,45330,1139,14231,26342,3094
Aargau,2016,14.8,16.4,16.3,15.1,14.4,13.8,15,2.34,  0.57 ,  2.3 ,  49.6 ,  49.6 ,284230,133982,3661,36925,104155,5507
Thurgau,2016,13,14,13.9,13.6,12.7,11.9,11.8,2.00,  0.55 ,  2.3 ,  50.9 ,  47.9 ,116060,57193,955,11824,43802,2287
Tessin,2016,13.4,11.8,13.2,13.4,13.6,14.1,15.5,1.59,  0.59 ,  2.2 ,  47.2 ,  40.0 ,162117,87113,354,25180,39739,9732
Waadt,2016,17,21.1,18.4,16.6,16.2,16.3,17.6,0.91,  0.64 ,  2.3 ,  42.4 ,  31.7 ,339270,216456,3898,41479,65999,11439
Wallis,2016,13.2,16,14.3,13.5,12.4,12,13.6,2.25,  0.61 ,  2.3 ,  44.7 ,  56.8 ,145805,56267,480,37746,45050,6262
Neuenburg,2016,12,11.6,12.5,11.7,12.2,11.9,14.4,1.53,  0.59 ,  2.2 ,  44.1 ,  31.8 ,80864,52382,923,9149,16574,1836
Genf,2016,18.6,18.6,18.6,18.4,17.9,18.9,22.2,0.51,  0.75 ,  2.4 ,  36.7 ,  18.5 ,191498,142878,7105,16224,19218,6073
Jura,2016,10.9,8.8,10.4,11.7,10.5,11,9.6,2.28,  0.54 ,  2.3 ,  46.5 ,  55.0 ,31142,12233,322,2747,14366,1474
Schweiz,2015,15.6,17.6,16.8,15.7,15.1,15,16.3,1.30,  0.60 ,  2.3 ,  45.2 ,  38.4 ,3623266,2036758,100067,431419,959162,95861
Zurich,2015,18.2,21.8,20.1,18.3,17.4,17.3,18.6,0.85,  0.62 ,  2.2 ,  44.4 ,  29.1 ,655063,410023,45901,73295,117510,8335
Bern,2015,14.1,14.8,15.2,14.3,13.8,13.1,13.7,1.69,  0.58 ,  2.2 ,  45.0 ,  40.9 ,457637,246018,9691,52824,134396,14708
Luzern,2015,14.9,18.2,16.5,15.2,14.3,14.1,14.4,1.05,  0.59 ,  2.3 ,  45.6 ,  36.3 ,169665,99281,5011,21385,40236,3753
